Question,Answer
"What's the policy on AI tool usage?","Only approved tools (list at https://ai.hooli.com). Prompt logging required for all GPT-4+ usage."
"How to check Hooli cafeteria menu?","Daily menu at https://cafe.hooli.com. Dietary filters available (gluten-free, vegan, etc)."
"Why is HooliLearn certificate not generating?","Complete all course modules and final quiz. Certificates issue every hour on the hour."
"How to request business cards?","Submit order in HooliBrand Portal > Print Materials. Standard delivery: 5 business days."
"What's the procedure for international VPN use?","Allowed in 150+ countries. Restricted in embargoed regions - check https://compliance.hooli.com/travel first."
"How to fix HooliAuthenticator time sync?","In app: Settings > Time Correction > Sync Now. Requires internet connection during sync."
"Why is my badge access denied after hours?","Building access restricted 10PM-6AM. Request after-hours approval via Security Portal (form S-87)."
"How to submit bug reports for Hooli apps?","Use built-in feedback tool (Ctrl+Shift+H) or email bugs@hooli.com with screenshots and logs."
"What's Hooli's cryptocurrency mining policy?","Strictly prohibited. Immediate termination for violations. Report suspicious activity to SOC."
"How to access Hooli's disaster recovery plan?","VP+ and DR Team only: Contact business-continuity@hooli.com for access (NDA required)."
"How to renew expiring software licenses?","Auto-renewed 30 days pre-expiry. Check status at https://licenses.hooli.com/my-licenses."
"Why is HooliTerminal showing 'permission denied'?","Your AD group lacks access. Request sudo rights via https://access.hooli.com (manager approval required)."
"How to transfer Hooli phone number to new employee?","Submit Phone Reassignment Form in Telecom Portal. Porting takes 1 business day."
"What's the process for ethical hacking reports?","Email full details to whitehat@hooli.com. Include vulnerability steps. Bounties paid for valid reports."
